"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"23910","New Zealand",2020-09-16,239,1809,7,25,0,1707,9,77,37.5,0.1,1.6,0.5,0,178,152
"24016","Nicaragua",2020-09-16,239,4961,0,147,0,2913,0,1901,74.9,0,28.7,2.2,0,120,120
"24308","Niger",2020-09-16,239,1182,0,69,0,1104,0,9,4.9,0,0,0.3,0,166,164
"24455","Nigeria",2020-09-16,239,56604,126,1091,3,47872,3442,7641,27.5,0.1,3.7,0.5,0,171,158
"24575","North Macedonia",2020-09-16,239,16088,163,668,7,13550,132,1870,772.3,7.8,89.8,32.1,0.3,178,168
"24766","Norway",2020-09-16,239,12498,105,265,0,10371,0,1862,230.5,1.9,34.3,4.9,0,194,177
"24958","Oman",2020-09-16,239,91196,536,805,8,84363,250,6028,1785.7,10.5,118,15.8,0.2,174,145
"25328","Pakistan",2020-09-16,239,303634,545,6399,6,291169,409,6066,137.5,0.2,2.7,2.9,0,185,174
"25530","Panama",2020-09-16,239,103466,634,2198,11,76787,1195,24481,2397.8,14.7,567.3,50.9,0.3,181,172
"25576","Papua New Guinea",2020-09-16,239,516,5,6,0,232,0,278,5.8,0.1,3.1,0.1,0,45,0
"25823","Paraguay",2020-09-16,239,30419,1121,566,14,15740,479,14113,426.5,15.7,197.9,7.9,0.2,164,139
"26031","Peru",2020-09-16,239,738020,4160,30927,115,580753,7389,126340,2238.3,12.6,383.2,93.8,0.3,183,173
"26210","Philippines",2020-09-16,239,272934,3527,4732,69,207858,506,60344,249.1,3.2,55.1,4.3,0.1,186,185
"26427","Poland",2020-09-16,239,75734,600,2237,10,62110,562,11387,200.1,1.6,30.1,5.9,0,186,176
"26607","Portugal",2020-09-16,239,65626,605,1878,3,44528,166,19220,643.6,5.9,188.5,18.4,0,187,179
"26864","Qatar",2020-09-16,239,122449,235,208,0,119400,256,2841,4250.2,8.2,98.6,7.2,0,189,147
"27160","Republic of Korea",2020-09-16,239,22657,153,372,5,19543,233,2742,44.2,0.3,5.3,0.7,0,209,204
"27310","Republic of the Congo",2020-09-16,239,4934,0,88,0,3887,0,959,89.4,0,17.4,1.6,0,154,135
"27550","Romania",2020-09-16,239,107011,1713,4285,49,43244,0,59482,556.2,8.9,309.2,22.3,0.3,186,176
"27713","Russia",2020-09-16,239,1075485,5612,18853,130,887457,5764,169175,737,3.8,115.9,12.9,0.1,183,169
"27859","Rwanda",2020-09-16,239,4634,10,22,0,2789,22,1823,35.8,0.1,14.1,0.2,0,165,29
"28155","Saint Kitts and Nevis",2020-09-16,239,17,0,0,0,17,0,0,32.1,0,0,0,0,0,0
"28347","Saint Lucia",2020-09-16,239,27,0,0,0,26,0,1,14.7,0,0.5,0,0,0,0
"28531","Saint Vincent and the Grenadines",2020-09-16,239,64,0,0,0,62,0,2,57.7,0,1.8,0,0,0,0
"28646","San Marino",2020-09-16,239,723,0,42,0,663,0,18,2126.5,0,52.9,123.5,0,185,182
"28845","Sao Tome and Principe",2020-09-16,239,907,0,15,0,871,0,21,414.2,0,9.6,6.8,0,134,114
"28955","Saudi Arabia",2020-09-16,239,327551,621,4369,31,306004,982,17178,940.9,1.8,49.3,12.5,0.1,186,169
"29310","Senegal",2020-09-16,239,14568,39,299,1,10756,64,3513,87,0.2,21,1.8,0,174,135
"29377","Serbia",2020-09-16,239,32613,102,736,1,0,0,31877,373.3,1.2,364.9,8.4,0,181,172
"29678","Seychelles",2020-09-16,239,140,0,0,0,136,0,4,142.9,0,4.1,0,0,68,0
"29859","Sierra Leone",2020-09-16,239,2133,7,72,0,1646,6,415,26.7,0.1,5.2,0.9,0,141,134
"29963","Singapore",2020-09-16,239,57514,26,27,0,56955,71,532,983.1,0.4,9.1,0.5,0,200,155
"30202","Slovakia",2020-09-16,239,5860,92,38,0,3220,6,2602,107.3,1.7,47.7,0.7,0,182,151
"30327","Slovenia",2020-09-16,239,3954,123,135,0,2844,55,975,190.2,5.9,46.9,6.5,0,187,171
"30544","Somalia",2020-09-16,239,3390,0,98,0,2812,0,480,21.3,0,3,0.6,0,152,146
"30819","South Africa",2020-09-16,239,653444,1923,15705,64,584195,1069,53544,1101.8,3.2,90.3,26.5,0.1,182,164
"30950","South Sudan",2020-09-16,239,2594,2,49,0,1290,0,1255,23.2,0,11.2,0.4,0,131,112
"31221","Spain",2020-09-16,239,614360,11193,30243,239,150376,0,433741,1314,23.9,927.7,64.7,0.5,198,193
"31346","Sri Lanka",2020-09-16,239,3271,0,13,0,3021,5,237,15.3,0,1.1,0.1,0,176,114
"31545","Sudan",2020-09-16,239,13535,0,836,0,6759,0,5940,30.9,0,13.5,1.9,0,149,151
"31734","Suriname",2020-09-16,239,4645,20,95,0,4089,93,461,791.3,3.4,78.5,16.2,0,102,84
"31907","Sweden",2020-09-16,239,87575,230,5860,9,0,0,81715,867.2,2.3,809.1,58,0.1,194,183
