"","country.x","condoms","lubricants","prep","pep","needle","ost","naloxone","pit","cbt","lpt","st","apn","art","adherence","pmtct","sti","anc","lawsb","lawss","trainhcw","trainofficers","engage","services","empowerment","violencep","violencem","alpha3","pop","country.y","mention"
"66","Kenya",1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,"KEN","pris","Kenya",1
"67","Lesotho",1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"LSO","pris","Lesotho",1
"68","Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LBR","pris","Liberia",0
"69","Madagascar",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MDG","pris","Madagascar",1
"70","Malawi",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MWI","pris","Malawi",1
"71","Mali",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MLI","pris","Mali",1
"72","Mauritania",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"MRT","pris","Mauritania",1
"73","Mauritius",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MUS","pris","Mauritius",1
"74","Mozambique",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MOZ","pris","Mozambique",1
"75","Namibia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"NAM","pris","Nambia",1
"76","Niger",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,"NER","pris","Niger",1
"77","Nigeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NGA","pris","Nigeria",1
"78","Rwanda",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RWA","pris","Rwanda",1
"79","Sao Tome and Principe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"STP","pris","Sao Tome and Principe",1
"80","Senegal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SEN","pris","Senegal",1
"81","Seychelles",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SYC","pris","Seychelles",1
